word,encoded_word,alphabet_to_emoji
role,🤷🍓🕠🍮,a:🥐;b:🕧;c:🪳;d:🕐;e:🍮;f:🧶;g:🌸;h:🕜;i:🪆;j:🦘;k:🌹;l:🕠;m:⚽;n:🥫;o:🍓;p:💂;q:🚁;r:🤷;s:🧳;t:🥜;u:🍎;v:🦁;w:🎆;x:💆;y:🍔;z:🎅
love,🐽🌔🔪🧏,a:🌹;b:🏠;c:🪲;d:👐;e:🧏;f:🫒;g:🦒;h:🫔;i:👸;j:🥬;k:🐨;l:🐽;m:🍉;n:🧟;o:🌔;p:🗼;q:🧑;r:🌂;s:🦥;t:🐠;u:🚚;v:🔪;w:🫓;x:🛝;y:🦉;z:🍤
city,🦅🍇🐭🦷,a:🧸;b:🍣;c:🦅;d:💃;e:🚜;f:🏯;g:🌟;h:🐺;i:🍇;j:🏃;k:🧋;l:🐔;m:🕜;n:🍯;o:⛄;p:🪀;q:🧎;r:🫶;s:🍡;t:🐭;u:🏣;v:🚊;w:🍺;x:🦓;y:🦷;z:🛻
lake,🎲🐵🦫🍬,a:🐵;b:🏤;c:🦷;d:🪢;e:🍬;f:☕;g:🎅;h:🕣;i:👀;j:🐻;k:🦫;l:🎲;m:🍣;n:🐼;o:🚚;p:🙌;q:🧃;r:🕑;s:🦬;t:🌰;u:💁;v:🐞;w:🧆;x:🧞;y:🍱;z:🍃
year,🐔🛑🚈🪳,a:🚈;b:🦞;c:🏨;d:💮;e:🛑;f:🚜;g:🍣;h:🙋;i:🚘;j:🐈;k:🧿;l:🕡;m:🐝;n:🍎;o:🚟;p:🥯;q:🚍;r:🪳;s:⛺;t:🍏;u:🪅;v:🦊;w:🐙;x:🍟;y:🐔;z:🌺
poet,⛄🛝🤾🐀,a:🏰;b:🧚;c:🤶;d:🐮;e:🤾;f:🦹;g:🎅;h:🫔;i:🏉;j:🌸;k:⛅;l:🗻;m:🪺;n:🥒;o:🛝;p:⛄;q:🍅;r:👩;s:🃏;t:🐀;u:🦜;v:🦉;w:🥋;x:🚐;y:⚓;z:🍢
user,🚃🥍🍙🍃,a:🦜;b:🍇;c:🚶;d:🪰;e:🍙;f:🦸;g:🥧;h:🌽;i:🦻;j:🏀;k:🍼;l:🧱;m:🦋;n:🍚;o:🦔;p:🔮;q:🫔;r:🍃;s:🥍;t:🍆;u:🚃;v:🦽;w:🛞;x:🏃;y:🦴;z:🛟
idea,💐🦏🧂🌝,a:🌝;b:🪹;c:🧓;d:🦏;e:🧂;f:🏈;g:🫁;h:🚦;i:💐;j:🐒;k:🥂;l:🍕;m:🥈;n:🦶;o:🌿;p:⚽;q:🙌;r:🪂;s:🪄;t:🌯;u:🛼;v:🤱;w:👂;x:🍈;y:🎀;z:🦦
math,🐈🍩🦈🚛,a:🍩;b:🍓;c:🤴;d:🚲;e:🧉;f:🚧;g:💧;h:🚛;i:🥊;j:🪹;k:🙍;l:🐟;m:🐈;n:🫦;o:🎨;p:🕟;q:🐼;r:🎠;s:🍜;t:🦈;u:🥎;v:🚣;w:🥥;x:🧁;y:🦚;z:🦬
meal,🧅🍨🌿🫀,a:🌿;b:🦥;c:🐾;d:🪁;e:🍨;f:🎅;g:🐟;h:🧎;i:🍣;j:👂;k:🔪;l:🫀;m:🧅;n:🚆;o:🥪;p:🧏;q:🃏;r:🕐;s:🫓;t:🥯;u:🏠;v:🕗;w:🚘;x:🌃;y:🌂;z:🦖
army,🧝👣🐮🐊,a:🧝;b:🤷;c:👰;d:🌛;e:🎅;f:🕓;g:🌂;h:🌊;i:🕙;j:🥬;k:🏇;l:🎀;m:🐮;n:⌚;o:🚤;p:🌐;q:🌃;r:👣;s:🍩;t:🧨;u:🐕;v:🦬;w:🚞;x:🏓;y:🐊;z:🥎
menu,🚆🥨🎰🐆,a:🍢;b:🐦;c:🦎;d:💃;e:🥨;f:🛌;g:🎅;h:👐;i:👃;j:🍦;k:🧩;l:🦀;m:🚆;n:🎰;o:💧;p:🌁;q:🦋;r:🏉;s:🌐;t:🏆;u:🐆;v:🌴;w:🕦;x:🛟;y:🚣;z:🧈
tale,🧌🥀🥐🤼,a:🥀;b:🛑;c:🏀;d:🐀;e:🤼;f:🧩;g:🎋;h:🍸;i:🚘;j:🤶;k:🛴;l:🥐;m:🛵;n:🦚;o:🏐;p:🐓;q:🍑;r:🐬;s:🥂;t:🧌;u:🍶;v:🥚;w:🍠;x:🍦;y:🦭;z:🌮
